	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	8.753267014026642	8.914397144317627	-0.1611301302909851	True
1	google-bert/bert-base-multilingual-cased	2	8.82405972480774	9.223532009124757	-0.3994722843170173	True
2	google-bert/bert-base-multilingual-cased	3	9.64482934474945	10.54647138118744	-0.9016420364379893	True
3	google-bert/bert-base-multilingual-cased	4	8.252954030036927	9.250843727588654	-0.9978896975517273	True
4	google-bert/bert-base-multilingual-cased	5	8.447319293022156	9.444772279262542	-0.9974529862403863	True
5	google-bert/bert-base-multilingual-cased	6	8.84402755498886	9.968248355388642	-1.1242208003997813	True
6	google-bert/bert-base-multilingual-cased	7	7.9752542734146115	8.47464149594307	-0.49938722252845835	True
7	google-bert/bert-base-multilingual-cased	8	8.049847173690797	8.877446353435516	-0.8275991797447197	True
8	google-bert/bert-base-multilingual-cased	9	8.706600743532181	9.291095541417599	-0.5844947978854176	True
9	google-bert/bert-base-multilingual-cased	10	10.350630366802216	9.568516331911088	0.7821140348911282	False
10	google-bert/bert-base-multilingual-cased	11	10.57724546790123	10.14021987915039	0.4370255887508403	False
11	google-bert/bert-base-multilingual-cased	12	11.696132290363312	11.635749530792236	0.06038275957107686	False
12	google-bert/bert-base-multilingual-cased	13	8.219139885902404	8.423621594905853	-0.2044817090034492	True
13	google-bert/bert-base-multilingual-cased	14	8.457567644119262	8.725399327278136	-0.2678316831588745	True
14	google-bert/bert-base-multilingual-cased	15	9.199683737754821	9.691041398048402	-0.4913576602935805	True
15	google-bert/bert-base-multilingual-cased	16	8.022335201501846	8.3924036860466	-0.3700684845447544	True
16	google-bert/bert-base-multilingual-cased	17	8.34396003484726	8.73826289176941	-0.39430285692214895	True
17	google-bert/bert-base-multilingual-cased	18	8.422205483913421	8.785378533601762	-0.3631730496883403	True
18	google-bert/bert-base-multilingual-cased	19	7.694531971216202	8.001178419589996	-0.30664644837379385	True
19	google-bert/bert-base-multilingual-cased	20	8.00886773467064	8.265241301059723	-0.25637356638908315	True
20	google-bert/bert-base-multilingual-cased	21	8.538046769797802	8.423895773291587	0.11415099650621485	False
21	google-bert/bert-base-multilingual-cased	22	9.375257986783982	9.345794785022736	0.029463201761245728	False
22	google-bert/bert-base-multilingual-cased	23	9.816733932495117	9.839280641078949	-0.022546708583831787	True
23	google-bert/bert-base-multilingual-cased	24	10.877465015649795	11.451468861103058	-0.5740038454532623	True
24	google-bert/bert-base-multilingual-cased	25	8.07619822025299	8.143245589733123	-0.06704736948013235	True
25	google-bert/bert-base-multilingual-cased	26	8.375587964057923	8.267302858829499	0.10828510522842372	False
26	google-bert/bert-base-multilingual-cased	27	9.451272189617157	9.687136220932008	-0.23586403131485056	True
27	google-bert/bert-base-multilingual-cased	28	7.325737869739532	7.960600185394287	-0.6348623156547548	True
28	google-bert/bert-base-multilingual-cased	29	7.6822723865509035	8.212242579460144	-0.5299701929092402	True
29	google-bert/bert-base-multilingual-cased	30	8.157952415943146	8.583324372768402	-0.42537195682525564	True
30	google-bert/bert-base-multilingual-cased	31	7.706563342362642	7.767099858820439	-0.06053651645779645	True
31	google-bert/bert-base-multilingual-cased	32	8.143585205078125	7.992003501951695	0.15158170312643016	False
