	model	pairid	expected	unexpected	diff	acc
0	google-bert/bert-base-multilingual-cased	1	3.1501704499460175	3.899294512002477	-0.7491240620564596	True
1	google-bert/bert-base-multilingual-cased	2	5.892131536481125	5.968663265547366	-0.0765317290662404	True
2	google-bert/bert-base-multilingual-cased	3	5.521294045547256	5.851078184845392	-0.32978413929813577	True
3	google-bert/bert-base-multilingual-cased	4	5.781822297919359	5.937145843270829	-0.15532354535146986	True
4	google-bert/bert-base-multilingual-cased	5	5.5002565556302825	6.107089316246049	-0.6068327606157666	True
5	google-bert/bert-base-multilingual-cased	6	5.77950001283898	7.316923055649063	-1.537423042810083	True
6	google-bert/bert-base-multilingual-cased	7	4.367523648755094	5.878498217614833	-1.510974568859739	True
7	google-bert/bert-base-multilingual-cased	8	4.81595694621404	5.266607999801636	-0.4506510535875954	True
8	google-bert/bert-base-multilingual-cased	9	7.757285000880559	7.06033312479655	0.6969518760840092	False
9	google-bert/bert-base-multilingual-cased	10	6.404625657200813	6.852205101648967	-0.447579444448154	True
10	google-bert/bert-base-multilingual-cased	11	6.874539077799352	6.711625562773811	0.16291351502554097	False
11	google-bert/bert-base-multilingual-cased	12	6.751097845017083	7.171944396363364	-0.42084655134628157	True
12	google-bert/bert-base-multilingual-cased	13	6.830213658408158	7.974532542957199	-1.1443188845490413	True
13	google-bert/bert-base-multilingual-cased	14	5.560617804061621	6.854844805267123	-1.2942270012055017	True
14	google-bert/bert-base-multilingual-cased	15	2.5315522860464017	3.0932258965525157	-0.561673610506114	True
15	google-bert/bert-base-multilingual-cased	16	4.784343438091067	4.489086430669219	0.29525700742184835	False
16	google-bert/bert-base-multilingual-cased	17	3.9539921976936356	4.3050380226147045	-0.35104582492106884	True
17	google-bert/bert-base-multilingual-cased	18	4.454661077129358	5.282940244370063	-0.828279167240705	True
18	google-bert/bert-base-multilingual-cased	19	4.659245506734199	5.421200214267526	-0.7619547075333273	True
19	google-bert/bert-base-multilingual-cased	20	4.550858006047848	6.47883720983777	-1.9279792037899215	True
20	google-bert/bert-base-multilingual-cased	21	3.4309346890432706	5.2173779937988405	-1.78644330475557	True
21	google-bert/bert-base-multilingual-cased	22	3.121885936831435	3.828766553600629	-0.7068806167691939	True
22	google-bert/bert-base-multilingual-cased	23	6.03075308005015	5.60511413315932	0.42563894689082993	False
23	google-bert/bert-base-multilingual-cased	24	5.033710474520921	5.333827325701714	-0.30011685118079257	True
24	google-bert/bert-base-multilingual-cased	25	5.243930747111638	5.658221749795807	-0.41429100268416885	True
25	google-bert/bert-base-multilingual-cased	26	5.2781483979067865	5.8006244343188085	-0.522476036412022	True
26	google-bert/bert-base-multilingual-cased	27	5.68452218392243	7.080075501567788	-1.3955533176453585	True
27	google-bert/bert-base-multilingual-cased	28	4.490659990968804	5.826416634851031	-1.3357566438822275	True
28	google-bert/bert-base-multilingual-cased	29	5.0616017072772	5.845625444253286	-0.7840237369760858	True
29	google-bert/bert-base-multilingual-cased	30	7.045311284810305	6.845615577697754	0.1996957071125509	False
30	google-bert/bert-base-multilingual-cased	31	7.142807737613717	7.485735718409219	-0.34292798079550213	True
31	google-bert/bert-base-multilingual-cased	32	7.048364760975043	6.710429232981469	0.33793552799357407	False
32	google-bert/bert-base-multilingual-cased	33	6.958400618284941	6.856181318561236	0.10221929972370436	False
33	google-bert/bert-base-multilingual-cased	34	6.919546474185256	7.8839021027088165	-0.9643556285235606	True
34	google-bert/bert-base-multilingual-cased	35	6.018607878850566	6.839554839664035	-0.820946960813469	True
35	google-bert/bert-base-multilingual-cased	36	4.307956894735495	5.126174934705098	-0.8182180399696026	True
